action,newObservation,reward,observation,qValue
0,-0.5724265012708984$-0.0006398484325569156,-1.0,-0.5717866528383415$0.0,-31.164017
0,-0.5737014499967984$-0.0012749487258999082,-1.0,-0.5724265012708984$-0.0006398484325569156,-31.126915
0,-0.5756020419981818$-0.0019005920013833869,-1.0,-0.5737014499967984$-0.0012749487258999082,-31.091423
0,-0.5781141897154043$-0.0025121477172225133,-1.0,-0.5756020419981818$-0.0019005920013833869,-31.057816
0,-0.5812192920708759$-0.0031051023554715925,-1.0,-0.5781141897154043$-0.0025121477172225133,-31.026327
0,-0.5848943895461912$-0.0036750974753153934,-1.0,-0.5812192920708759$-0.0031051023554715925,-30.997198
0,-0.589112356380798$-0.0042179668346067145,-1.0,-0.5848943895461912$-0.0036750974753153934,-30.980448
0,-0.593842128600245$-0.0047297722194469885,-1.0,-0.589112356380798$-0.0042179668346067145,-31.00454
0,-0.5990489661584248$-0.005206837558179894,-1.0,-0.593842128600245$-0.0047297722194469885,-31.036251
0,-0.6046947469976826$-0.005645780839257762,-1.0,-0.5990489661584248$-0.005206837558179894,-31.07534
0,-0.6107382903075277$-0.006043543309845161,-1.0,-0.6046947469976826$-0.005645780839257762,-31.12151
0,-0.617135705718364$-0.006397415410836247,-1.0,-0.6107382903075277$-0.006043543309845161,-31.174421
1,-0.6228407646282611$-0.005705058909897099,-1.0,-0.617135705718364$-0.006397415410836247,-31.298567
0,-0.6288124560936165$-0.005971691465355324,-1.0,-0.6228407646282611$-0.005705058909897099,-31.324839
0,-0.6350080827903409$-0.0061956266967244525,-1.0,-0.6288124560936165$-0.005971691465355324,-31.36082
0,-0.6413836097042341$-0.006375526913893175,-1.0,-0.6350080827903409$-0.0061956266967244525,-31.389174
0,-0.6478940191175538$-0.0065104094133197395,-1.0,-0.6413836097042341$-0.006375526913893175,-31.40685
0,-0.6544936676106801$-0.006599648493126201,-1.0,-0.6478940191175538$-0.0065104094133197395,-31.37614
0,-0.6611366407957325$-0.006642973185052461,-1.0,-0.6544936676106801$-0.006599648493126201,-31.327417
0,-0.6677771016138605$-0.006640460818128021,-1.0,-0.6611366407957325$-0.006642973185052461,-31.283785
0,-0.6743696282601057$-0.0065925266462452566,-1.0,-0.6677771016138605$-0.006640460818128021,-31.245497
0,-0.6808695381430727$-0.006499909882966982,-1.0,-0.6743696282601057$-0.0065925266462452566,-31.187325
0,-0.6872331947286601$-0.0063636565855873465,-1.0,-0.6808695381430727$-0.006499909882966982,-31.118816
2,-0.6914182946398648$-0.004185099911204741,-1.0,-0.6872331947286601$-0.0063636565855873465,-31.036972
2,-0.6933972499645055$-0.0019789553246406166,-1.0,-0.6914182946398648$-0.004185099911204741,-30.951845
2,-0.6931570814978278$0.00024016846667764165,-1.0,-0.6933972499645055$-0.0019789553246406166,-30.897955
2,-0.6906993621303019$0.0024577193675259746,-1.0,-0.6931570814978278$0.00024016846667764165,-30.884897
2,-0.6860402239287988$0.004659138201503092,-1.0,-0.6906993621303019$0.0024577193675259746,-30.960018
0,-0.6812104272572436$0.004829796671555257,-1.0,-0.6860402239287988$0.004659138201503092,-31.562393
2,-0.6742421005406039$0.006968326716639671,-1.0,-0.6812104272572436$0.004829796671555257,-31.129782
2,-0.6651820174159824$0.009060083124621452,-1.0,-0.6742421005406039$0.006968326716639671,-31.038597
1,-0.6550917023937951$0.010090315022187255,-1.0,-0.6651820174159824$0.009060083124621452,-30.982836
2,-0.6430405697399901$0.012051132653804957,-1.0,-0.6550917023937951$0.010090315022187255,-30.492237
2,-0.6291126709092116$0.01392789883077849,-1.0,-0.6430405697399901$0.012051132653804957,-30.148941
2,-0.613406567248773$0.0157061036604387,-1.0,-0.6291126709092116$0.01392789883077849,-29.805424
2,-0.5960350244434941$0.017371542805278865,-1.0,-0.613406567248773$0.0157061036604387,-29.464289
2,-0.5771244755168186$0.018910548926675493,-1.0,-0.5960350244434941$0.017371542805278865,-29.211367
2,-0.5568142068184517$0.02031026869836685,-1.0,-0.5771244755168186$0.018910548926675493,-29.081192
2,-0.5352552344422647$0.021558972376186973,-1.0,-0.5568142068184517$0.02031026869836685,-29.095215
2,-0.5126088564413908$0.02264637800087395,-1.0,-0.5352552344422647$0.021558972376186973,-29.134119
1,-0.4900448879023851$0.02256396853900564,-1.0,-0.5126088564413908$0.02264637800087395,-29.37381
2,-0.4667321487440636$0.02331273915832147,-1.0,-0.4900448879023851$0.02256396853900564,-29.453964
2,-0.44284384346508066$0.023888305278982957,-1.0,-0.4667321487440636$0.02331273915832147,-29.744148
2,-0.4185552929302744$0.02428855053480626,-1.0,-0.44284384346508066$0.023888305278982957,-29.874306
2,-0.394041593640671$0.02451369928960342,-1.0,-0.4185552929302744$0.02428855053480626,-29.813843
2,-0.3694752928029436$0.024566300837727397,-1.0,-0.394041593640671$0.02451369928960342,-29.784649
2,-0.3450241692249553$0.024451123577988305,-1.0,-0.3694752928029436$0.024566300837727397,-29.742579
2,-0.3208492046087173$0.02417496461623805,-1.0,-0.3450241692249553$0.024451123577988305,-29.658506
2,-0.29710281785097065$0.02374638675774664,-1.0,-0.3208492046087173$0.02417496461623805,-29.700375
2,-0.2739274179076798$0.023175399943290816,-1.0,-0.29710281785097065$0.02374638675774664,-29.761497
2,-0.25145431055710715$0.022473107350572667,-1.0,-0.2739274179076798$0.023175399943290816,-29.806297
2,-0.22980297313421763$0.021651337422889525,-1.0,-0.25145431055710715$0.022473107350572667,-29.804924
0,-0.21108069102389204$0.01872228211032559,-1.0,-0.22980297313421763$0.021651337422889525,-29.830334
0,-0.19537369195032417$0.015706999073567873,-1.0,-0.21108069102389204$0.01872228211032559,-29.953367
0,-0.18274942413854386$0.012624267811780308,-1.0,-0.19537369195032417$0.015706999073567873,-29.895287
0,-0.17325875337481764$0.00949067076372623,-1.0,-0.18274942413854386$0.012624267811780308,-29.789833
